rating;user;place
2;Wilson Rhodes;Candi Gedong Songo
4;Wilson Rhodes;De Mata Museum Jogja
3;Wilson Rhodes;Pantai Baron
5;Wilson Rhodes;Desa Wisata Rumah Domes/Teletubbies
5;Wilson Rhodes;Masjid Agung Trans Studio Bandung
3;Wilson Rhodes;The Escape Hunt
1;Wilson Rhodes;Taman Budaya Jawa Barat
2;Kathryn Murillo;Gereja Katedral Santo Petrus Bandung
5;Kathryn Murillo;Pantai Glagah
4;Kathryn Murillo;Water Park Bandung Indah
5;Kathryn Murillo;Goa Cerme
4;Kathryn Murillo;Panama Park 825
2;Kathryn Murillo;Museum Gedung Sate
4;Kathryn Murillo;Museum Geologi Bandung
2;Kathryn Murillo;Curug Bugbrug
1;Kathryn Murillo;Bukit Bintang Yogyakarta
3;Kathryn Murillo;Orchid Forest Cikole
5;Kathryn Murillo;Candi Borobudur
2;Kathryn Murillo;Orchid Forest Cikole
2;Kathryn Murillo;Margasatwa Muara Angke
2;Kathryn Murillo;Rumah Sipitung
4;Kathryn Murillo;Grojogan Watu Purbo Bangunrejo
1;Kathryn Murillo;Pesona Nirwana Waterpark & Cottages
3;Kathryn Murillo;Kebun Binatang Bandung
5;Kathryn Murillo;Kidzania
1;Kathryn Murillo;Kampung Wisata Kadipaten
3;Kathryn Murillo;Pantai Watu Kodok
2;Kathryn Murillo;Monumen Palagan Ambarawa
2;Kathryn Murillo;Pantai Samas
2;Kathryn Murillo;Ciputra Waterpark
2;Kathryn Murillo;Pulau Bidadari
1;Kathryn Murillo;Pantai Kukup
4;Kathryn Murillo;Kebun Tanaman Obat Sari Alam
5;Kathryn Murillo;Upside Down World Bandung
2;Kathryn Murillo;Kota Tua
1;Kathryn Murillo;Desa Wisata Gamplong
2;Kathryn Murillo;Danau Rawa Pening
4;Kathryn Murillo;Tugu Pal Putih Jogja
1;Tamika Mccarthy;Pantai Goa Cemara
2;Tamika Mccarthy;Museum Joang 45
4;Tamika Mccarthy;Kota Tua
1;Tamika Mccarthy;Sam Poo Kong Temple
1;Tamika Mccarthy;Kampung Wisata Kadipaten
2;Tamika Mccarthy;Kampung Wisata Dipowinatan
2;Tamika Mccarthy;Puncak Pinus Becici
1;Tamika Mccarthy;Museum Kereta Ambarawa
3;Tamika Mccarthy;Taman Suropati
4;Tamika Mccarthy;Bukit Lintang Sewu
1;Tamika Mccarthy;Museum Fatahillah
2;Tamika Mccarthy;Pantai Depok Jogja
3;Tamika Mccarthy;Museum TNI AL Loka Jala Crana
1;Tamika Mccarthy;Tafso Barn
3;Tamika Mccarthy;Caringin Tilu
3;Tamika Mccarthy;Pantai Ancol
3;Tamika Mccarthy;Taman Spathodea
3;Tamika Mccarthy;Teras Cikapundung BBWS
5;Tamika Mccarthy;NuArt Sculpture Park
3;Tamika Mccarthy;Orchid Forest Cikole
3;Tamika Mccarthy;Gereja Katedral
1;Tamika Mccarthy;The Lost World Castle
3;Tamika Mccarthy;Gua Maria Kerep Ambarawa
2;Tamika Mccarthy;Pantai Baron
3;Tamika Mccarthy;Jakarta Aquarium dan Safari
4;Tamika Mccarthy;Galeri Nasional Indonesia
3;Tamika Mccarthy;Museum TNI AL Loka Jala Crana
1;Tamika Mccarthy;Pantai Depok Jogja
4;Tamika Mccarthy;Desa Wisata Sungai Code Jogja Kota
4;Tamika Mccarthy;Museum Bahari Jakarta
4;Tamika Mccarthy;Goa Jomblang
5;Tamika Mccarthy;Masjid Daarut Tauhiid Bandung
3;Tamika Mccarthy;Grand Maerakaca
4;Tamika Mccarthy;Kawasan Wisata Sosrowijayan
1;Tamika Mccarthy;Bumi Perkemahan Batu Kuda
1;Tamika Mccarthy;Brown Canyon
4;Rudolf Roman;Happyfarm Ciwidey
2;Rudolf Roman;Museum Seni Rupa dan Kramik
1;Rudolf Roman;Taman Barunawati
2;Rudolf Roman;Kampoeng Tulip
3;Rudolf Roman;Pura Giri Natha
2;Rudolf Roman;Pantai Sadranan
2;Rudolf Roman;Museum Sasmita Loka Ahmad Yani
4;Rudolf Roman;Sanghyang Heuleut
1;Rudolf Roman;Taman Sejarah Bandung
4;Rudolf Roman;The Great Asia Africa
2;Rudolf Roman;Hutan Pinus Kayon
3;Rudolf Roman;Masjid Salman ITB
5;Rudolf Roman;Atlantis Land Surabaya
2;Rudolf Roman;Taman Situ Lembang
4;Rudolf Roman;Pantai Ngrawe (Mesra)
1;Rudolf Roman;Curug Cipanas
4;Rudolf Roman;Kawasan Wisata Sosrowijayan
2;Rudolf Roman;De Mata Museum Jogja
1;Rudolf Roman;Goa Jomblang
1;Rudolf Roman;Pulau Pramuka
2;Rudolf Roman;Surabaya North Quay
3;Rudolf Roman;Taman Miniatur Kereta Api
3;Rudolf Roman;Puncak Pinus Becici
2;Rudolf Roman;Watu Gunung Ungaran
5;Rudolf Roman;Istana Negara Republik Indonesia
1;Rudolf Roman;Museum Bank Indonesia
2;Rudolf Roman;The Lost World Castle
3;Rudolf Roman;Taman Buah Surabaya
5;Rudolf Roman;Monumen Jalesveva Jayamahe
2;Rudolf Roman;Museum Kereta Ambarawa
5;Rudolf Roman;GPIB Immanuel Semarang (Gereja Blenduk)
1;Rudolf Roman;Museum Sasmita Loka Ahmad Yani
5;Rudolf Roman;Kebun Binatang Surabaya
5;Rudolf Roman;Kampung Cina
4;Rudolf Roman;Gua Maria Kerep Ambarawa
4;Rudolf Roman;Jembatan Kota Intan
5;Rudolf Roman;Semarang Chinatown
2;Rudolf Roman;Museum Joang 45
1;Floyd Spencer;Situ Cileunca
5;Floyd Spencer;Taman Hutan Raya Ir. H. Juanda
1;Floyd Spencer;Monumen Palagan Ambarawa
2;Floyd Spencer;Taman Balai Kota Bandung
4;Floyd Spencer;Kawah Rengganis Cibuni
1;Floyd Spencer;Happyfarm Ciwidey
3;Floyd Spencer;Taman Harmoni Keputih
5;Floyd Spencer;Mall Thamrin City
5;Floyd Spencer;Batununggal Indah Club
4;Floyd Spencer;Taman Srigunting
5;Floyd Spencer;Kiara Artha Park
5;Floyd Spencer;Gunung Lalakon
3;Floyd Spencer;Kampung Batik Gedong Semarang
4;Floyd Spencer;Museum Barli
5;Floyd Spencer;Bentara Budaya Yogyakarta (BBY)
1;Floyd Spencer;Candi Ijo
5;Floyd Spencer;Pasar Petak Sembilan
1;Floyd Spencer;Kiara Artha Park
3;Floyd Spencer;Grand Indonesia Mall
2;Floyd Spencer;Perkebunan Teh Malabar
5;Floyd Spencer;Curug Anom
2;Floyd Spencer;Masjid Al-Imtizaj
1;Floyd Spencer;Pantai Baron
5;Floyd Spencer;Lawang Sewu
4;Floyd Spencer;Kidzania
3;Floyd Spencer;Kampung Korea Bandung
2;Floyd Spencer;Roemah Seni Sarasvati
1;Floyd Spencer;Seribu Batu Songgo Langit
2;Floyd Spencer;Kampoeng Tulip
5;Floyd Spencer;Taman Spathodea
1;Floyd Spencer;Kota Tua
1;Floyd Spencer;Desa Wisata Sungai Code Jogja Kota
4;Booker Perkins;Museum Joang 45
1;Booker Perkins;Kampung Pelangi
3;Booker Perkins;Amazing Art World
4;Booker Perkins;Watu Lumbung
4;Booker Perkins;Taman Balai Kota Bandung
2;Booker Perkins;Bukit Lintang Sewu
2;Booker Perkins;Batununggal Indah Club
4;Booker Perkins;Taman Vanda
1;Booker Perkins;Wisata Kraton Jogja
3;Booker Perkins;Pantai Sundak
3;Booker Perkins;Taman Lalu Lintas Ade Irma Suryani Nasution
1;Booker Perkins;Gereja Katedral
5;Booker Perkins;Patung Buddha Empat Rupa
4;Booker Perkins;Nol Kilometer Jl.Malioboro
3;Booker Perkins;Bangsal Pagelaran
4;Booker Perkins;Lava Bantal
5;Booker Perkins;Monumen Jalesveva Jayamahe
2;Booker Perkins;Patung Sura dan Buaya
2;Booker Perkins;Taman Pintar Yogyakarta
3;Booker Perkins;Pantai Sadranan
2;Booker Perkins;Taman Tabanas
5;Karl Ford;Museum Barli
5;Karl Ford;Wisata Kampung Krisan Clapar
3;Karl Ford;Ciputra Waterpark
4;Karl Ford;Hutan Pinus Pengger
3;Karl Ford;Bukit Wisata Pulepayung
3;Karl Ford;Pelabuhan Marina
4;Karl Ford;Kampung Korea Bandung
5;Karl Ford;Upside Down World Bandung
2;Karl Ford;Lava Bantal
1;Karl Ford;Gua Pawon
5;Karl Ford;Pantai Ngrawe (Mesra)
3;Karl Ford;Alun Alun Selatan Yogyakarta
2;Karl Ford;Pecinan Glodok
5;Karl Ford;Puncak Gunung Api Purba - Nglanggeran
2;Karl Ford;Taman Spathodea
4;Karl Ford;Pulau Pari
4;Karl Ford;Kampung Batik Gedong Semarang
1;Karl Ford;Goa Jomblang
4;Karl Ford;Museum Taman Prasasti
4;Karl Ford;Air Terjun Kali Pancur
5;Karl Ford;Taman Pelangi
1;Karl Ford;Pantai Jungwok
2;Karl Ford;Pasar Tanah Abang
3;Karl Ford;Air Terjun Kali Pancur
5;Karl Ford;Gereja Perawan Maria Tak Berdosa Surabaya
5;Karl Ford;Geoforest Watu Payung Turunan
1;Karl Ford;Bukit Gantole Cililin
3;Karl Ford;Bukit Panguk Kediwung
5;Karl Ford;Ledok Sambi
5;Karl Ford;Pintoe Langit Dahromo
4;Karl Ford;Taman Budaya Yogyakarta
3;Karl Ford;The Escape Hunt
2;Karl Ford;Air Terjun Kedung Pedut
3;Karl Ford;Lereng Anteng Panoramic Coffee Place
5;Karl Ford;Tirto Argo Siwarak
3;Glenda Blair;Taman Lalu Lintas Ade Irma Suryani Nasution
1;Glenda Blair;Jalan Braga
2;Glenda Blair;Museum Sumpah Pemuda
5;Glenda Blair;Bukit Panguk Kediwung
5;Glenda Blair;Cibubur Garden Diary (Cibugary)
3;Glenda Blair;Obyek Wisata Goa Kreo
4;Glenda Blair;Kampoeng Djadhoel Semarang
5;Glenda Blair;Pantai Drini
5;Glenda Blair;Studio Alam Gamplong
2;Glenda Blair;The Escape Hunt
2;Glenda Blair;Candi Borobudur
1;Glenda Blair;Benteng Pendem
5;Glenda Blair;Monumen Perjuangan Rakyat Jawa Barat
4;Glenda Blair;Kawah Putih
5;Glenda Blair;Taman Bunga Celosia
4;Glenda Blair;Watu Lumbung
2;Glenda Blair;Pasar Baru
5;Glenda Blair;Pecinan Glodok
4;Glenda Blair;Lava Bantal
5;Glenda Blair;Taman Situ Lembang
5;Glenda Blair;Taman Keputran
2;Glenda Blair;Upside Down World Bandung
1;Glenda Blair;Watu Lumbung
3;Glenda Blair;Dago Dreampark
1;Glenda Blair;Jembatan Pasupati
2;Glenda Blair;Curug Batu Templek
1;Glenda Blair;Museum Basoeki Abdullah
2;Glenda Blair;Hutan Pinus Kayon
4;Glenda Blair;Pantai Goa Cemara
3;Santo Huerta;Tugu Proklamasi
1;Santo Huerta;Pasar Seni
1;Santo Huerta;Pesona Nirwana Waterpark & Cottages
1;Santo Huerta;Alun-alun Utara Keraton Yogyakarta
3;Santo Huerta;Masjid Daarut Tauhiid Bandung
3;Santo Huerta;Masjid Istiqlal
5;Santo Huerta;Wisata Kaliurang
4;Santo Huerta;Taman Begonia
4;Santo Huerta;Museum Kebangkitan Nasional
4;Santo Huerta;Museum Gedung Sate
1;Santo Huerta;Orchid Forest Cikole
2;Santo Huerta;Pantai Siung
3;Santo Huerta;Hutan Pinus Asri
2;Santo Huerta;Tirto Argo Siwarak
1;Santo Huerta;House of Sampoerna
4;Santo Huerta;Sam Poo Kong Temple
1;Santo Huerta;Gereja Tiberias Indonesia Bandung
4;Santo Huerta;Gereja Perawan Maria Tak Berdosa Surabaya
3;Santo Huerta;Sea World
4;Santo Huerta;Museum Wayang
1;Santo Huerta;Watu Mabur Mangunan
4;Santo Huerta;Jogja Bay Pirates Adventure Waterpark
1;Santo Huerta;Taman Bunga Celosia
2;Santo Huerta;Wisata Lereng Kelir
4;Santo Huerta;Food Junction Grand Pakuwon
3;Santo Huerta;Museum Mandala Wangsit Siliwangi
5;Santo Huerta;Monumen Bambu Runcing Surabaya
5;Santo Huerta;Taman Lansia
5;Santo Huerta;Grand Maerakaca
1;Santo Huerta;Taman Balai Kota Bandung
2;Santo Huerta;Cibubur Garden Diary (Cibugary)
1;Santo Huerta;Monumen Serangan Umum 1 Maret
3;Santo Huerta;Bumi Perkemahan Batu Kuda
2;Santo Huerta;Jurang Tembelan Kanigoro
5;Eugene Miller;Museum Joang 45
2;Eugene Miller;Gumuk Pasir Parangkusumo
3;Eugene Miller;Rumah Sipitung
4;Eugene Miller;Monumen Bambu Runcing Surabaya
2;Eugene Miller;Wisata Lereng Kelir
5;Eugene Miller;Pasar Seni
3;Eugene Miller;Situs Warungboto
4;Eugene Miller;Candi Prambanan
4;Eugene Miller;Taman Bunga Celosia
1;Eugene Miller;Pecinan Glodok
3;Eugene Miller;Museum Benteng Vredeburg Yogyakarta
4;Eugene Miller;Cibubur Garden Diary (Cibugary)
4;Eugene Miller;Bukit Bintang Yogyakarta
1;Eugene Miller;Atlantis Land Surabaya
4;Eugene Miller;Monumen Bandung Lautan Api
5;Eugene Miller;Desa Wisata Lembah Kalipancur
4;Eugene Miller;Curug Malela
1;Eugene Miller;Air Terjun Kali Pancur
3;Eugene Miller;Pantai Maron
1;Eugene Miller;Amazing Art World
5;Eugene Miller;Semarang Contemporary Art Gallery
4;Eugene Miller;Pantai Goa Cemara
3;Eugene Miller;Kampung Korea Bandung
3;Eugene Miller;Heha Sky View
1;Eugene Miller;Pelabuhan Marina
3;Eugene Miller;Water Park Bandung Indah
5;Eugene Miller;Ledok Sambi
4;Eugene Miller;Monumen Yogya Kembali
2;Eugene Miller;Sunrise Point Cukul
2;Eugene Miller;Monumen Nasional
1;Eugene Miller;Pantai Sundak
4;Eugene Miller;Food Junction Grand Pakuwon
1;Eugene Miller;Taman Srigunting
1;Eugene Miller;Puncak Segoro
3;Eugene Miller;Kawasan Wisata Sosrowijayan
1;Bennie Galloway;Lawang Sewu
4;Bennie Galloway;Museum Tengah Kebun
4;Bennie Galloway;Museum Bank Indonesia
5;Bennie Galloway;Taman Impian Jaya Ancol
3;Bennie Galloway;Bukit Gantole Cililin
5;Bennie Galloway;Monumen Selamat Datang
3;Bennie Galloway;Waduk Jatibarang
2;Bennie Galloway;Klenteng Sanggar Agung
1;Bennie Galloway;Pasar Tanah Abang
3;Bennie Galloway;Curug Tilu Leuwi Opat
3;Bennie Galloway;Gedung Sate
2;Bennie Galloway;Patung Sura dan Buaya
5;Bennie Galloway;Kampoeng Tulip
2;Bennie Galloway;Rabbit Town
4;Bennie Galloway;Museum Geologi Bandung
4;Bennie Galloway;Kampoeng Rawa
5;Bennie Galloway;Curug Batu Templek
4;Bennie Galloway;Taman Hutan Raya Ir. H. Juanda
1;Bennie Galloway;Puncak Segoro
1;Bennie Galloway;Benteng Pendem
5;Bennie Galloway;Pintoe Langit Dahromo
4;Bennie Galloway;Air Mancur Menari
2;Bennie Galloway;Galeri Indonesia Kaya
5;Bennie Galloway;Pasar Tanah Abang
1;Bennie Galloway;Hutan Bambu Keputih
4;Bennie Galloway;Curug Tilu Leuwi Opat
1;Bennie Galloway;"Bukit Paralayang, Watugupit"
1;Bennie Galloway;Kampung Korea Bandung
4;Bennie Galloway;Tafso Barn
2;Bennie Galloway;Museum Sumpah Pemuda
3;Bennie Galloway;Museum Layang-layang
2;Bennie Galloway;Kawasan Kuliner BSM
5;Bennie Galloway;Curug Bugbrug
1;Bennie Galloway;Ocean Ecopark
5;Bennie Galloway;Masjid Al-Imtizaj
4;Bennie Galloway;The World Landmarks - Merapi Park Yogyakarta
5;Bennie Galloway;Setu Babakan
1;Bennie Galloway;SnowBay Waterpark
3;Bennie Galloway;Museum Pendidikan Nasional
1;Bennie Galloway;Hutan Pinus Asri
3;Frankie Lozano;Air Terjun Sri Gethuk
3;Frankie Lozano;Taman Sungai Mudal
1;Frankie Lozano;Taman Jomblo
3;Frankie Lozano;Kampung Batu Malakasari
2;Frankie Lozano;Gereja Perawan Maria Tak Berdosa Surabaya
5;Frankie Lozano;Taman Ekspresi Dan Perpustakaan
4;Frankie Lozano;Pemandian Air Panas Cimanggu
3;Frankie Lozano;Pantai Wediombo
2;Frankie Lozano;The World Landmarks - Merapi Park Yogyakarta
3;Frankie Lozano;Gedung Sate
4;Frankie Lozano;Alun Alun Selatan Yogyakarta
1;Frankie Lozano;Gereja Tiberias Indonesia Bandung
1;Frankie Lozano;The Escape Hunt
1;Frankie Lozano;Pantai Greweng
4;Frankie Lozano;Kebun Teh Nglinggo
4;Frankie Lozano;Taman Suropati
1;Frankie Lozano;Museum Wayang
2;Frankie Lozano;Taman Hutan Raya Ir. H. Djuanda
1;Frankie Lozano;Tirto Argo Siwarak
5;Frankie Lozano;Water Blaster Bukit Candi Golf
1;Frankie Lozano;Obyek Wisata Goa Kreo
5;Frankie Lozano;Pemandian Air Panas Ciater
1;Frankie Lozano;Rumah Batik
1;Frankie Lozano;Desa Wisata Sungai Code Jogja Kota
1;Frankie Lozano;Kidzania
4;Frankie Lozano;Taman Budaya Jawa Barat
5;Frankie Lozano;Margasatwa Muara Angke
1;Frankie Lozano;Batununggal Indah Club
4;Frankie Lozano;Museum Nasional
1;Frankie Lozano;Bukit Gantole Cililin
2;Frankie Lozano;Gereja Katedral
3;Celina Guerrero;Alun Alun Selatan Yogyakarta
4;Celina Guerrero;Tafso Barn
3;Celina Guerrero;Atlantis Land Surabaya
5;Celina Guerrero;Bukit Wisata Pulepayung
3;Celina Guerrero;Goa Jomblang
4;Celina Guerrero;Hutan Wisata Tinjomoyo Semarang
3;Celina Guerrero;Jurang Tembelan Kanigoro
5;Celina Guerrero;Air Terjun Semirang
3;Celina Guerrero;Kyotoku Floating Market
1;Celina Guerrero;Pantai Sedahan
1;Celina Guerrero;Kebun Binatang Surabaya
1;Celina Guerrero;Taman Jomblo
3;Celina Guerrero;Pantai Ancol
2;Celina Guerrero;Waterpark Kenjeran Surabaya
5;Celina Guerrero;Taman Balai Kota Bandung
4;Celina Guerrero;Margasatwa Muara Angke
2;Celina Guerrero;Taman Suropati
1;Celina Guerrero;Roemah Seni Sarasvati
2;Celina Guerrero;Desa Wisata Sungai Code Jogja Kota
5;Celina Guerrero;Sanghyang Heuleut
3;Celina Guerrero;Heha Sky View
5;Celina Guerrero;Perkebunan Teh Malabar
1;Celina Guerrero;Alun-Alun Kota Bandung
4;Celina Guerrero;Klenteng Jin De Yuan
5;Celina Guerrero;Pasar Kebon Empring Bintaran
2;Celina Guerrero;Wisata Agro Edukatif Istana Susu Cibugary
2;Celina Guerrero;Gereja Katedral
5;Celina Guerrero;De Mata Museum Jogja
1;Celina Guerrero;Pantai Jogan
1;Celina Guerrero;SnowBay Waterpark
4;Celina Guerrero;Alun-Alun Kota Bandung
3;Celina Guerrero;Taman Film
1;Celina Guerrero;Puncak Pinus Becici
2;Celina Guerrero;Wisata Kraton Jogja
2;Celina Guerrero;Desa Wisata Pulesari
1;Celina Guerrero;Semarang Contemporary Art Gallery
2;Celina Guerrero;Bandros City Tour
5;Celina Guerrero;Keraton Surabaya
3;Dallas Michael;Wisata Batu Kuda
5;Dallas Michael;Waterpark Kenjeran Surabaya
2;Dallas Michael;Taman Bunga Cihideung
4;Dallas Michael;Plaza Indonesia
3;Dallas Michael;Kebun Binatang Bandung
1;Dallas Michael;The Lost World Castle
4;Dallas Michael;Surabaya Museum (Gedung Siola)
1;Dallas Michael;Geoforest Watu Payung Turunan
2;Dallas Michael;Kawah Rengganis Cibuni
4;Dallas Michael;Lawangwangi Creative Space
3;Dallas Michael;Kota Lama Semarang
5;Dallas Michael;The Great Asia Africa
4;Dallas Michael;Taman Menteng
1;Dallas Michael;Jogja Exotarium
4;Dallas Michael;Skyrink - Mall Taman Anggrek
1;Dallas Michael;Jogja Exotarium
2;Dallas Michael;Taman Sungai Mudal
5;Dallas Michael;Taman Sejarah Bandung
2;Dallas Michael;Trans Studio Bandung
5;Dallas Michael;Tafso Barn
4;Dallas Michael;Taman Jomblo
5;Dallas Michael;Taman Keputran
1;Dallas Michael;Taman Impian Jaya Ancol
4;Dallas Michael;Pasar Baru
2;Dallas Michael;Pantai Glagah
4;Dallas Michael;Taman Pintar Yogyakarta
1;Dallas Michael;Kampung Wisata Rejowinangun
5;Dallas Michael;Kampung Batu Malakasari
5;Dallas Michael;Monumen Kapal Selam
5;Dallas Michael;Lawangwangi Creative Space
4;Dallas Michael;Pantai Baron
3;Dallas Michael;Blue Lagoon Jogja
2;Dallas Michael;Wisata Alam Wana Wisata Penggaron
5;Dallas Michael;Kampoeng Djadhoel Semarang
3;Dallas Michael;Patung Buddha Empat Rupa
1;Darin Hull;Curug Anom
3;Darin Hull;Blue Lagoon Jogja
2;Darin Hull;Wisata Eling Bening
2;Darin Hull;Panama Park 825
2;Darin Hull;Tebing Karaton
1;Darin Hull;Gedung Agung Yogyakarta
5;Darin Hull;Curug Tilu Leuwi Opat
2;Darin Hull;Monumen Selamat Datang
3;Darin Hull;Taman Jomblo
3;Darin Hull;GPIB Immanuel Semarang (Gereja Blenduk)
4;Darin Hull;Jembatan Biru Ambarawa
1;Darin Hull;GPIB Immanuel Semarang (Gereja Blenduk)
4;Darin Hull;GPIB Immanuel Semarang (Gereja Blenduk)
5;Darin Hull;Rumah Sipitung
5;Darin Hull;Gua Pawon
1;Darin Hull;Taman Harmoni Keputih
3;Darin Hull;Taman Miniatur Kereta Api
2;Darin Hull;Museum Gedung Sate
4;Darin Hull;Museum Barli
1;Darin Hull;Museum Bank Indonesia
2;Darin Hull;Jembatan Biru Ambarawa
1;Darin Hull;Bukit Panguk Kediwung
3;Darin Hull;Pantai Ngobaran
1;Darin Hull;Wot Batu
5;Cassandra Rodgers;Pantai Ngrenehan
5;Cassandra Rodgers;"Bukit Paralayang, Watugupit"
1;Cassandra Rodgers;Jendela Alam
5;Cassandra Rodgers;Alun-Alun Kota Bandung
4;Cassandra Rodgers;Gereja Perawan Maria Tak Berdosa Surabaya
2;Cassandra Rodgers;Klenteng Jin De Yuan
2;Cassandra Rodgers;Watu Goyang
1;Cassandra Rodgers;De Mata Museum Jogja
5;Cassandra Rodgers;Curug Anom
4;Cassandra Rodgers;Pantai Indrayanti
4;Cassandra Rodgers;Grand Maerakaca
1;Cassandra Rodgers;Museum Mpu Tantular
5;Cassandra Rodgers;Watu Lumbung
5;Cassandra Rodgers;Sindu Kusuma Edupark (SKE)
4;Cassandra Rodgers;Bandros City Tour
2;Cassandra Rodgers;Geoforest Watu Payung Turunan
4;Cassandra Rodgers;Kebun Tanaman Obat Sari Alam
3;Cassandra Rodgers;Kawah Rengganis Cibuni
5;Cassandra Rodgers;Wisata Alam Mangrove Angke
3;Cassandra Rodgers;Candi Gedong Songo
5;Cassandra Rodgers;GunungTangkuban perahu
3;Cassandra Rodgers;Puspa Iptek Sundial
2;Cassandra Rodgers;Taman Hiburan Rakyat
3;Cassandra Rodgers;Plaza Indonesia
5;Cassandra Rodgers;NuArt Sculpture Park
1;Cassandra Rodgers;Monumen Bambu Runcing Surabaya
2;Cassandra Rodgers;Goa Rong
3;Cassandra Rodgers;Taman Sejarah Bandung
5;Cassandra Rodgers;Museum TNI AL Loka Jala Crana
1;Cassandra Rodgers;The Great Asia Africa
3;Lee Dunlap;Alun-alun Utara Keraton Yogyakarta
3;Lee Dunlap;Taman Jomblo
1;Lee Dunlap;Situs Warungboto
1;Lee Dunlap;Pemandian Air Panas Cimanggu
2;Lee Dunlap;Waduk Jatibarang
1;Lee Dunlap;Alun-Alun Kota Bandung
4;Lee Dunlap;Tektona Waterpark
1;Lee Dunlap;Jendela Alam
5;Lee Dunlap;Hutan Kota Srengseng
5;Lee Dunlap;Pantai Greweng
2;Lee Dunlap;Wisata Kuliner Pecenongan
4;Lee Dunlap;Kampung Wisata Dipowinatan
3;Lee Dunlap;Water Blaster Bukit Candi Golf
5;Lee Dunlap;Grojogan Watu Purbo Bangunrejo
2;Lee Dunlap;Pantai Baruna
4;Lee Dunlap;Food Junction Grand Pakuwon
4;Lee Dunlap;Alun Alun Selatan Yogyakarta
5;Lee Dunlap;Pantai Jungwok
2;Lee Dunlap;Pantai Patihan
2;Lee Dunlap;Pasar Seni
5;Lee Dunlap;Watu Mabur Mangunan
2;Lee Dunlap;Kawah Rengganis Cibuni
3;Lee Dunlap;Pantai Watu Kodok
5;Lee Dunlap;Alive Museum Ancol
4;Lee Dunlap;Kawah Putih
2;Lee Dunlap;Desa Wisata Gamplong
2;Lee Dunlap;Trans Studio Bandung
4;Lee Dunlap;Waduk Jatibarang
1;Lee Dunlap;Kampung Wisata Sosro Menduran
2;Lee Dunlap;Kenjeran Park
5;Lee Dunlap;Pasar Baru
1;Lee Dunlap;Pantai Timang
3;Lee Dunlap;Galeri Nasional Indonesia
4;Lee Dunlap;Pantai Maron
3;Lee Dunlap;Museum Nike Ardilla
3;Lee Dunlap;Pasar Baru
2;Clarice Gillespie;Galeri Nasional Indonesia
1;Clarice Gillespie;Benteng Pendem
4;Clarice Gillespie;Goa Jomblang
4;Clarice Gillespie;Kenjeran Park
1;Clarice Gillespie;Hutan Bambu Keputih
2;Clarice Gillespie;Taman Keputran
1;Clarice Gillespie;Taman Hutan Raya Ir. H. Juanda
2;Clarice Gillespie;Pasar Taman Puring
4;Clarice Gillespie;Ledok Sambi
4;Clarice Gillespie;Taman Pintar Yogyakarta
4;Clarice Gillespie;Museum Geologi Bandung
5;Clarice Gillespie;Desa Wisata Lembah Kalipancur
3;Clarice Gillespie;Sam Poo Kong Temple
4;Clarice Gillespie;Kebun Tanaman Obat Sari Alam
2;Clarice Gillespie;Water Blaster Bukit Candi Golf
4;Clarice Gillespie;Pantai Nglambor
3;Clarice Gillespie;The World Landmarks - Merapi Park Yogyakarta
3;Clarice Gillespie;Masjid Istiqlal
1;Clarice Gillespie;Pantai Jogan
3;Clarice Gillespie;Hutan Pinus Pengger
3;Clarice Gillespie;Gunung Papandayan
1;Clarice Gillespie;Kebun Bibit Wonorejo
5;Clarice Gillespie;Hutan Kota Srengseng
2;Clarice Gillespie;Monumen Bandung Lautan Api
5;Clarice Gillespie;Caringin Tilu
4;Clarice Gillespie;Taman Budaya Jawa Barat
1;Clarice Gillespie;Kawah Putih
2;Clarice Gillespie;Museum Macan (Modern and Contemporary Art in Nusantara)
3;Jo Pace;Curug Anom
2;Jo Pace;Taman Srigunting
1;Jo Pace;Taman Situ Lembang
3;Jo Pace;Hutan Wisata Tinjomoyo Semarang
1;Jo Pace;Kyotoku Floating Market
5;Jo Pace;Bukit Gantole Cililin
3;Jo Pace;Museum Basoeki Abdullah
4;Jo Pace;Taman Harmoni Keputih
5;Jo Pace;Kebun Tanaman Obat Sari Alam
4;Jo Pace;Kampung Tematik Jawi
5;Jo Pace;Museum Sri Baduga
1;Jo Pace;Gunung Lalakon
3;Jo Pace;Puncak Kebun Buah Mangunan
2;Jo Pace;Masjid Istiqlal
5;Jo Pace;Alun-alun Utara Keraton Yogyakarta
2;Jo Pace;Museum Taman Prasasti
1;Jo Pace;Pantai Sepanjang
1;Jo Pace;Museum Kebangkitan Nasional
3;Jo Pace;Wisata Lereng Kelir
2;Jo Pace;Taman Bunga Celosia
1;Jo Pace;Taman Pelangi
2;Jo Pace;Taman Bunga Celosia
1;Jo Pace;Pantai Maron
1;Jan Roy;Stone Garden Citatah
1;Jan Roy;Mall Thamrin City
2;Jan Roy;Monumen Nasional
3;Jan Roy;Pintoe Langit Dahromo
1;Jan Roy;Taman Begonia
5;Jan Roy;Jogja Exotarium
2;Jan Roy;Taman Pintar Yogyakarta
2;Jan Roy;Pantai Ancol
3;Jan Roy;Tebing Karaton
1;Jan Roy;Pantai Marina
3;Jan Roy;Saung Angklung Mang Udjo
5;Jan Roy;Nol Kilometer Jl.Malioboro
5;Jan Roy;Monumen Sanapati
